scenario_id,asset,attack_type,targeted_property,impact_rating
1,firmware_functionality,unknown,confidentiality,minor
2,unknown_asset,spoofing,unknown,unknown
3,rtl8710c_module,unknown,unknown,unknown
4,unknown_asset,unknown,availability,severe
5,infotainment_system,unknown,unknown,unknown
6,unknown_asset,unknown,confidentiality,unknown
7,advantech_server,elevation_of_privilege,unknown,unknown
8,code_decoder,unknown,unknown,unknown
9,unknown_asset,unknown,unknown,unknown
10,unknown_asset,unknown,unknown,unknown
11,keyless,unknown,unknown,unknown
12,unknown_asset,unknown,unknown,unknown
13,can_traffic,unknown,unknown,unknown
14,radio_signal,unknown,unknown,unknown
15,ioc_chip,unknown,unknown,unknown
16,can_network,unknown,unknown,unknown
17,garo_wallbox,unknown,unknown,unknown
18,car_app,unknown,unknown,unknown
19,can_bus,unknown,unknown,unknown
20,unknown_asset,unknown,unknown,unknown
21,qualcomm_automobile,unknown,unknown,unknown
22,key_fobs,unknown,unknown,unknown
23,obd_ports,unknown,unknown,unknown
24,sinec_ins,unknown,unknown,unknown
25,infineon_2,unknown,unknown,unknown
26,remote_system,unknown,unknown,unknown
27,unknown_asset,unknown,unknown,unknown
28,omap_functionality,unknown,unknown,unknown
29,unknown_asset,unknown,unknown,unknown
30,unknown_asset,unknown,unknown,unknown
31,unknown_asset,unknown,unknown,unknown
32,unknown_asset,unknown,integrity,major
33,unknown_asset,unknown,availability,severe
34,key_fob,unknown,unknown,unknown
35,key_fob,unknown,unknown,unknown
36,mobile_apps,unknown,unknown,unknown
37,mac_feature,unknown,unknown,unknown
38,unknown_asset,unknown,unknown,unknown
39,passive_start,unknown,unknown,unknown
40,infotainment_system,unknown,confidentiality,unknown
41,unknown_asset,unknown,unknown,unknown
42,it_systems,unknown,unknown,unknown
43,unknown_asset,unknown,unknown,unknown
44,sinumerik_products,unknown,unknown,unknown
45,can_messages,unknown,unknown,unknown
46,key_fob,unknown,unknown,unknown
47,unknown_asset,unknown,unknown,unknown
48,keyless_entry,unknown,unknown,unknown
49,unknown_asset,unknown,unknown,unknown
50,ldap_servers,unknown,unknown,unknown
51,human,unknown,unknown,unknown
52,unknown_asset,unknown,unknown,unknown
53,unknown_asset,unknown,integrity,major
54,unknown_asset,unknown,unknown,unknown
55,keyless_system,unknown,unknown,unknown
56,unknown_asset,unknown,unknown,unknown
57,unknown_asset,unknown,unknown,unknown
58,unknown_asset,unknown,unknown,unknown
59,unknown_asset,unknown,unknown,unknown
60,unknown_asset,unknown,unknown,unknown
61,unknown_asset,spoofing,unknown,unknown
62,unknown_asset,unknown,unknown,unknown
63,obd_dongle,unknown,unknown,unknown
64,keyless_entry,unknown,unknown,unknown
65,unknown_asset,unknown,unknown,unknown
66,keyless_system,unknown,unknown,unknown
67,unknown_asset,unknown,unknown,unknown
68,unknown_asset,unknown,unknown,unknown
69,evlink_city,unknown,unknown,unknown
70,traffic_recognition,unknown,unknown,unknown
71,root_shell,unknown,confidentiality,unknown
72,renderer_process,unknown,unknown,unknown
73,unknown_asset,unknown,confidentiality,unknown
74,debug_interface,unknown,confidentiality,unknown
75,unknown_asset,unknown,unknown,unknown
76,unknown_asset,unknown,unknown,unknown
77,remote_system,unknown,unknown,unknown
78,unknown_asset,unknown,unknown,unknown
79,keyless_system,unknown,unknown,unknown
80,unknown_asset,tampering,unknown,unknown
81,intelligent_system,unknown,unknown,unknown
82,unknown_asset,unknown,confidentiality,minor
83,unknown_asset,unknown,unknown,unknown
84,keyless_entry,unknown,unknown,unknown
85,key_fob,unknown,unknown,unknown
86,unknown_asset,unknown,unknown,minor
87,keyless_system,unknown,unknown,unknown
88,unknown_asset,unknown,unknown,unknown
89,human_recognition,unknown,unknown,unknown
90,unknown_asset,unknown,unknown,unknown
91,snapdragon_automobile,unknown,unknown,unknown
92,unknown_asset,unknown,unknown,unknown
93,head_hu_nbt,unknown,unknown,unknown
94,dscm_message,unknown,unknown,severe
95,nfc_card,unknown,unknown,unknown
96,unknown_asset,unknown,unknown,unknown
97,unknown_asset,unknown,unknown,unknown
98,wlan_protocols,unknown,confidentiality,minor
99,autonomous_system,unknown,unknown,unknown
100,keyless_system,unknown,unknown,unknown
101,unknown_asset,unknown,unknown,unknown
