iteration,seed,model,accuracy,precision,recall,f1,tpr,tnr,fpr,fnr
1,1,knn,0.744,0.7638312925170069,0.744,0.7345108073583011,0.654491341991342,0.9068701190256718,0.09312988097432807,0.34550865800865804
1,1,naive_bayes,0.728,0.6647774294670846,0.728,0.6944721720052656,0.6019345238095238,0.8993704017561825,0.10062959824381751,0.3980654761904762
1,1,random_forest,0.76,0.7752966037735849,0.76,0.7483983515579846,0.6656520562770563,0.9105796982452118,0.08942030175478821,0.3343479437229437
2,2,knn,0.72,0.7038095238095238,0.72,0.7071131221719457,0.6023403679653679,0.8999842721386008,0.10001572786139924,0.39765963203463206
2,2,naive_bayes,0.768,0.7148544087491456,0.768,0.7321614035087719,0.6130952380952381,0.9101037040020697,0.08989629599793025,0.3869047619047619
2,2,random_forest,0.784,0.8071475191475193,0.784,0.7555466771118945,0.6410308441558441,0.9176034212715591,0.08239657872844083,0.3589691558441558
3,3,knn,0.72,0.72246814028883,0.72,0.7171787307032591,0.6534090909090909,0.9017619886365844,0.09823801136341553,0.34659090909090906
3,3,naive_bayes,0.768,0.7061565217391305,0.768,0.7331820330969268,0.6287202380952381,0.9102710184959976,0.08972898150400238,0.3712797619047619
3,3,random_forest,0.792,0.8110104529616724,0.792,0.7784950086058521,0.6864853896103896,0.9197765731822752,0.0802234268177248,0.31351461038961037
4,4,knn,0.648,0.7059196033562166,0.648,0.6700117159436308,0.6143804112554112,0.884677387704347,0.11532261229565298,0.38561958874458874
4,4,naive_bayes,0.728,0.6711762013729976,0.728,0.6926079027355624,0.5848214285714286,0.8961170643742515,0.10388293562574846,0.4151785714285714
4,4,random_forest,0.768,0.7931447004608294,0.768,0.7497826141338337,0.6481331168831168,0.910573114110034,0.08942688588996593,0.3518668831168831
5,5,knn,0.728,0.7574440801457194,0.728,0.7252430896570835,0.6571293290043291,0.903111270906056,0.0968887290939439,0.342870670995671
5,5,naive_bayes,0.76,0.7237501242750621,0.76,0.725796630613968,0.6063988095238095,0.9056160349253514,0.09438396507464861,0.39360119047619047
5,5,random_forest,0.744,0.7617885236573729,0.744,0.7347328171530674,0.6399485930735931,0.9020491357497015,0.09795086425029857,0.36005140692640697
6,6,knn,0.76,0.7447218344965104,0.76,0.7318433202584703,0.6365665584415584,0.9130091659858983,0.08699083401410165,0.36343344155844154
6,6,naive_bayes,0.768,0.7116190476190476,0.768,0.7312871802283566,0.6316964285714286,0.9116467154460713,0.08835328455392871,0.3683035714285714
6,6,random_forest,0.792,0.7441006993006992,0.792,0.7563100884955752,0.6473214285714286,0.9211998301469788,0.07880016985302117,0.3526785714285714
7,7,knn,0.656,0.7439216783216784,0.656,0.6651222320862397,0.6325757575757576,0.8857620781101573,0.11423792188984275,0.36742424242424243
7,7,naive_bayes,0.736,0.6760054476670869,0.736,0.7012188867392013,0.5959821428571429,0.9001353233430056,0.09986467665699444,0.40401785714285715
7,7,random_forest,0.8,0.8027721287604177,0.8,0.7950870523917413,0.7408685064935066,0.9282842814583117,0.0717157185416884,0.2591314935064935
8,8,knn,0.648,0.6348571428571428,0.648,0.6253027481262776,0.5197510822510822,0.8727006249859518,0.1272993750140482,0.48024891774891776
8,8,naive_bayes,0.768,0.705197715696867,0.768,0.7294376321353065,0.6049107142857143,0.9108078191640162,0.08919218083598376,0.3950892857142857
8,8,random_forest,0.784,0.7744790513833992,0.784,0.7713684944410245,0.6686282467532467,0.9199258373613428,0.0800741626386572,0.3313717532467533
9,9,knn,0.736,0.7537105606258149,0.736,0.7229423923255699,0.6418425324675325,0.9006047334509698,0.09939526654903012,0.3581574675324676
9,9,naive_bayes,0.744,0.6881276705276705,0.744,0.709438080808786,0.6108630952380952,0.901604360091775,0.09839563990822489,0.38913690476190477
9,9,random_forest,0.752,0.752549666850052,0.752,0.7454484830076609,0.6720102813852814,0.9066565593057176,0.09334344069428231,0.3279897186147186
10,10,knn,0.656,0.7192543707093821,0.656,0.6647294178083881,0.6176948051948052,0.8876260780349255,0.11237392196507448,0.38230519480519476
10,10,naive_bayes,0.76,0.7055238095238096,0.76,0.7243682613094378,0.6264880952380952,0.9083999621993181,0.09160003780068196,0.37351190476190477
10,10,random_forest,0.76,0.756,0.76,0.7490386215092097,0.667884199134199,0.9110244739031381,0.08897552609686189,0.3321158008658009
