scenario_id,asset,attack_type,targeted_property,impact_rating
1,tire_pressure,spoofing,availability,major
2,ecu,spoofing,availability,major
3,ota_module,spoofing,availability,major
4,tire_pressure,spoofing,integrity,severe
5,ota_module,spoofing,integrity,major
6,tire_pressure,spoofing,integrity,major
7,ota_module,spoofing,integrity,major
8,v2x_module,spoofing,integrity,major
9,lidar,spoofing,integrity,major
10,camera,spoofing,availability,major
11,v2x_module,spoofing,integrity,major
12,can_bus,spoofing,availability,major
13,lidar,spoofing,integrity,major
14,tire_pressure,spoofing,integrity,major
15,ota_module,spoofing,confidentiality,major
16,ota_module,spoofing,confidentiality,major
17,tire_pressure,spoofing,availability,major
18,ota_module,spoofing,availability,major
19,gps,spoofing,integrity,major
20,camera,spoofing,availability,major
21,lidar,spoofing,availability,major
22,ecu,spoofing,integrity,major
23,ota_module,spoofing,availability,major
24,ota_module,spoofing,integrity,major
25,v2x_module,spoofing,confidentiality,major
26,gps,spoofing,availability,major
27,can_bus,spoofing,integrity,major
28,ota_module,spoofing,availability,major
29,ota_module,spoofing,integrity,major
30,ota_module,spoofing,integrity,moderate
31,tire_pressure,spoofing,availability,major
32,can_bus,spoofing,availability,major
33,gps,spoofing,availability,major
34,lidar,spoofing,availability,severe
35,ota_module,spoofing,integrity,major
36,ota_module,spoofing,integrity,major
37,gps,spoofing,integrity,severe
38,gps,spoofing,integrity,major
39,gps,spoofing,integrity,major
40,can_bus,spoofing,integrity,major
41,v2x_module,spoofing,integrity,major
42,ota_module,spoofing,integrity,major
43,ota_module,spoofing,availability,major
44,lidar,spoofing,integrity,severe
45,gps,spoofing,availability,major
46,ota_module,spoofing,integrity,major
47,lidar,spoofing,integrity,major
48,lidar,spoofing,availability,major
49,ecu,spoofing,integrity,major
50,ecu,spoofing,integrity,major
51,gps,spoofing,integrity,major
52,can_bus,spoofing,integrity,inconsequential
53,gps,spoofing,availability,major
54,can_bus,spoofing,integrity,major
55,ota_module,spoofing,integrity,major
56,ecu,spoofing,integrity,major
57,camera,spoofing,integrity,major
58,gps,spoofing,integrity,major
59,ota_module,spoofing,integrity,major
60,camera,spoofing,integrity,major
61,v2x_module,spoofing,availability,major
62,v2x_module,spoofing,integrity,major
63,can_bus,spoofing,integrity,major
64,ecu,spoofing,availability,major
65,tire_pressure,spoofing,integrity,major
66,ecu,spoofing,integrity,major
67,gps,spoofing,integrity,inconsequential
68,can_bus,spoofing,integrity,major
69,ota_module,spoofing,integrity,major
70,can_bus,spoofing,confidentiality,major
71,ecu,spoofing,availability,major
72,ecu,spoofing,integrity,major
73,can_bus,spoofing,availability,severe
74,gps,spoofing,availability,major
75,lidar,spoofing,integrity,major
76,ota_module,spoofing,integrity,major
77,v2x_module,spoofing,confidentiality,major
78,ota_module,spoofing,integrity,major
79,ota_module,spoofing,integrity,major
80,lidar,spoofing,integrity,major
81,ecu,spoofing,availability,major
82,ecu,spoofing,integrity,major
83,gps,spoofing,integrity,severe
84,v2x_module,spoofing,integrity,major
85,v2x_module,spoofing,integrity,major
86,ecu,spoofing,integrity,major
87,camera,spoofing,integrity,major
88,camera,spoofing,integrity,major
89,v2x_module,spoofing,integrity,major
90,v2x_module,spoofing,integrity,moderate
91,tire_pressure,spoofing,integrity,major
92,lidar,spoofing,integrity,major
93,gps,spoofing,availability,major
94,v2x_module,spoofing,availability,major
95,v2x_module,spoofing,integrity,major
96,camera,spoofing,confidentiality,major
97,camera,spoofing,integrity,major
98,gps,spoofing,confidentiality,major
99,ecu,spoofing,integrity,severe
100,camera,spoofing,integrity,major
101,tire_pressure,spoofing,integrity,moderate
102,camera,spoofing,integrity,major
103,camera,spoofing,availability,major
104,tire_pressure,spoofing,confidentiality,major
105,ota_module,spoofing,confidentiality,major
106,camera,spoofing,availability,major
107,v2x_module,spoofing,integrity,major
108,lidar,spoofing,availability,major
109,can_bus,spoofing,availability,major
110,camera,spoofing,integrity,major
111,v2x_module,spoofing,confidentiality,major
112,tire_pressure,spoofing,integrity,severe
113,ota_module,spoofing,availability,major
114,camera,spoofing,integrity,major
115,can_bus,spoofing,confidentiality,moderate
116,v2x_module,spoofing,integrity,major
117,camera,spoofing,availability,moderate
118,can_bus,spoofing,integrity,major
119,lidar,spoofing,integrity,major
120,gps,spoofing,integrity,major
121,tire_pressure,spoofing,integrity,major
122,ecu,spoofing,integrity,major
123,camera,spoofing,integrity,major
124,ecu,spoofing,availability,major
125,tire_pressure,spoofing,integrity,moderate
126,camera,spoofing,integrity,major
127,can_bus,spoofing,confidentiality,major
128,v2x_module,spoofing,confidentiality,major
129,camera,spoofing,confidentiality,moderate
130,tire_pressure,spoofing,integrity,major
131,gps,spoofing,integrity,major
132,tire_pressure,spoofing,availability,major
133,ota_module,spoofing,availability,major
134,ota_module,spoofing,integrity,major
135,lidar,spoofing,integrity,major
136,gps,spoofing,integrity,major
137,ecu,spoofing,integrity,major
138,v2x_module,spoofing,availability,major
139,gps,spoofing,integrity,major
140,tire_pressure,spoofing,integrity,major
141,tire_pressure,spoofing,integrity,severe
142,ota_module,spoofing,confidentiality,major
143,gps,spoofing,availability,major
144,ota_module,spoofing,integrity,major
145,lidar,spoofing,integrity,major
146,tire_pressure,spoofing,integrity,major
147,lidar,spoofing,integrity,major
148,gps,spoofing,integrity,major
149,camera,spoofing,availability,major
150,can_bus,spoofing,availability,major
151,camera,spoofing,integrity,major
152,v2x_module,spoofing,integrity,major
153,v2x_module,spoofing,integrity,major
154,gps,spoofing,integrity,major
155,ota_module,spoofing,integrity,major
156,v2x_module,spoofing,availability,major
157,tire_pressure,spoofing,integrity,major
158,gps,spoofing,availability,major
159,v2x_module,spoofing,availability,major
160,gps,spoofing,integrity,major
161,lidar,spoofing,integrity,inconsequential
162,tire_pressure,spoofing,integrity,major
163,tire_pressure,spoofing,confidentiality,major
164,camera,spoofing,availability,major
165,tire_pressure,spoofing,confidentiality,major
166,ota_module,spoofing,integrity,major
167,ecu,spoofing,integrity,major
168,can_bus,spoofing,integrity,major
169,ecu,spoofing,integrity,major
170,ecu,spoofing,integrity,major
171,gps,spoofing,integrity,major
172,ota_module,spoofing,availability,major
173,lidar,spoofing,integrity,major
174,camera,spoofing,integrity,major
175,ecu,spoofing,availability,major
176,lidar,spoofing,integrity,major
177,ecu,spoofing,integrity,major
178,ota_module,spoofing,availability,major
179,gps,spoofing,integrity,major
180,ota_module,spoofing,integrity,major
181,can_bus,spoofing,integrity,major
182,camera,spoofing,integrity,major
183,camera,spoofing,integrity,major
184,v2x_module,spoofing,availability,major
185,ecu,spoofing,availability,major
186,can_bus,spoofing,integrity,major
187,gps,spoofing,availability,major
188,ota_module,spoofing,availability,major
189,gps,spoofing,integrity,major
190,tire_pressure,spoofing,integrity,major
191,gps,spoofing,integrity,major
192,camera,spoofing,confidentiality,major
193,ecu,spoofing,integrity,major
194,gps,spoofing,availability,major
195,camera,spoofing,availability,major
196,ecu,spoofing,availability,major
197,camera,spoofing,integrity,major
198,ota_module,spoofing,confidentiality,major
199,gps,spoofing,confidentiality,major
200,can_bus,spoofing,integrity,major
201,ecu,spoofing,confidentiality,major
202,gps,spoofing,integrity,major
203,tire_pressure,spoofing,integrity,major
204,gps,spoofing,availability,major
205,ecu,spoofing,integrity,major
206,tire_pressure,spoofing,availability,major
207,gps,spoofing,integrity,major
208,tire_pressure,spoofing,integrity,major
209,lidar,spoofing,integrity,major
210,tire_pressure,spoofing,integrity,major
211,camera,spoofing,integrity,major
212,lidar,spoofing,availability,inconsequential
213,ota_module,spoofing,availability,major
214,camera,spoofing,availability,major
215,lidar,spoofing,availability,major
216,can_bus,spoofing,availability,major
217,v2x_module,spoofing,confidentiality,major
218,lidar,spoofing,availability,major
219,tire_pressure,spoofing,integrity,major
220,ota_module,spoofing,integrity,major
221,gps,spoofing,confidentiality,moderate
222,ecu,spoofing,confidentiality,major
223,camera,spoofing,integrity,major
224,ecu,spoofing,integrity,major
225,ecu,spoofing,integrity,major
226,ecu,spoofing,integrity,major
227,ota_module,spoofing,availability,major
228,ota_module,spoofing,integrity,major
229,can_bus,spoofing,integrity,major
230,ecu,spoofing,availability,major
231,gps,spoofing,integrity,inconsequential
232,can_bus,spoofing,availability,major
233,can_bus,spoofing,integrity,inconsequential
234,lidar,spoofing,integrity,major
235,tire_pressure,spoofing,availability,major
236,camera,spoofing,integrity,major
